facility_name,facility_type,full_address,latitude,longitude
Country Estates Retirement Home,Other,"512, thunder bridge road, kawartha lakes, on, K9V 4R1",44.37744874,-78.76719105
Country Haven Retirement Home,Other,"1387, beachburg road, beachburg, on, K0J 1C0",45.71888166,-76.85439195
Country Home Care Services Ltd.,Other,"12472, york durham line, whitchurch-stouffville, on, L4A 3L2",43.98184135,-79.22502166
Country Lane Long Term Care Residence,Other,"317079, highway 6, chatsworth, on, N0H 1G0",44.465706899999994,-80.9030782
Country Manor Retirement Home,Other,"66, victoria street, lambton shores, on, N0M 2N0",43.16243938,-81.85244972
Country Meadows Retirement Residence,Other,"6124, ana street, brunner, on, N0K 1C0",43.52179349,-80.91997886
Country Moments Retirement Home,Other,"185, lakewood park road, huntsville, on, P1H 1Y7",45.31887878,-79.24437549
Country Roads Community Health Centre,Clinic,"4319, cove road, portland, on, K0G 1V0",44.69431581,-76.19447194
Country Terrace,Other,"10072, oxbow drive, komoka, on, N0L 1R0",42.95867137,-81.43757387
Country View Care,Other,"9504, highway 38, godfrey, on, K0H 1T0",44.59712177,-76.68879979
Country View Lodge,Other,"4676, darks side road, pakenham, on, K0A 2X0",45.34114702,-76.28200362
Country Village Homes - Woodslee,Other,"440, essex road 8, south woodslee, on, N0R 1V0",42.172411100000005,-82.72129740000001
Countryview Retirement Residence,Other,"6369, wellington county road 9, listowel, on, N4W 3G8",43.69975529999999,-80.87262199999999
Bonnyville Community Cancer Centre,Hospital,"NA, NA, bonnyville, ab, T9N 2J7",54.26373,-110.7393
County of Renfrew - (Adult Day Service),Clinic,"9, international drive, pembroke, on, K8A 6W5",45.7995814,-77.1188035
100 Mile District General Hospital,Hospital,"555, cedar ave, 100 mile house, bc, V0K 2E0",51.6376711,-121.2930534
Craigholme,Other,"221, main street, ailsa craig, on, N0M 1A0",43.14535469,-81.53006982
Craiglee Nursing Home,Other,"102, craiglee drive, toronto, on, M1N 2M7",43.706865,-79.25329325
Craigwiel Gardens,Clinic,"221, main street, ailsa craig, on, N0M 1A0",43.14535469,-81.53006982
Credit River Retirement Residence,Other,"175, rutledge road, mississauga, on, L5M 0X7",43.58094516,-79.71729218
Credit Valley Family Health Team,Clinic,"2300, eglinton avenue w, mississauga, on, L5M 2V8",43.55907115,-79.70554618
Credit Valley Hospital,Hospital,"2200, eglinton ave w, mississauga, on, L5M 2N1",43.5593496,-79.7032464
Creedan Valley Care Community,Other,"143, mary street, creemore, on, L0M 1G0",44.32664057,-80.09982767
Creek Way Village,Other,"5200, corporate drive, burlington, on, L7L 7G7",43.39302822,-79.77985319
115th Residence,Other,"1629, 115 ave, dawson creek, bc, V1G 3C7",55.74558929999999,-120.2501096
Crescent Hill Place Retirement,Other,"3, crescent hill drive s, brampton, on, L6S 2P2",43.72163358,-79.73643050000001
Crescent Park Lodge,Other,"4, hagey avenue, fort erie, on, L2A 5M5",42.91044887,-78.92320857
Crest Support Services,Other,"13570, elginfield road, lucan, on, N0M 2J0",43.1547019,-81.39943458
Cross Toronto Community Development Corporation,Clinic,"3345, dundas street w, toronto, on, M6P 2A6",43.66546488,-79.48166312
Crossroads Centre Inc.,Other,"500, oliver road, thunder bay, on, P7B 2H1",48.42902176,-89.24535107
Crosstown Family Health Team (Formerly West Park),Clinic,"1286, weston road, toronto, on, M6M 4R3",43.68896429,-79.49550922
Crown Ridge Place,Other,"106, crown street, quinte west, on, K8V 6R3",44.10639945,-77.56149694
11a Home,Other,"5145, 11a ave, delta, bc, V4M 1Z7",49.0241528,-123.0812712
CSC DE KAPUSKASING ET RÉGION (CSS),Clinic,"27, avenue kolb, kapuskasing, on, P5N 1G2",49.41487164,-82.41931451
Cumberland Lodge,Other,"2564, market street, ottawa, on, K4C 1P3",45.51561708,-75.40637035
Cummer Lodge,Other,"205, cummer avenue, toronto, on, M2M 2E8",43.78816171,-79.4075617
Curve Lake,Clinic,"22, winookeeda street, curve lake, on, K0L 1R0",44.46244057,-78.37487623
Dale Brain Injury Services Inc.,Clinic,"1111, elias street, london, on, N5W 5L1",42.99846998,-81.2152564
DAVE SMITH YOUTH TREATMENT CENTRE / CENTRE DE TRAITEMENT POUR JEUNES DAVE SMITH,Other,"112, willowlea road, ottawa, on, K0A 1L0",45.27423822,-75.96233511
Davenhill Senior Living,Other,"877, yonge street, toronto, on, M4W 3M2",43.67423139,-79.38791859
Davenport Perth Neighbourhood Centre,Clinic,"1900, davenport road, toronto, on, M6N 1B7",43.67068498,-79.45483721
Dayspring Residence,Other,"332787, plank line, tillsonburg, on, N4G 4H1",42.923935,-80.76567299999999
1220 East 14th,Other,"1220, 14 st e, north vancouver, bc, V7J 1K2",49.3209903,-123.0404142
DE DWA DA DEHS NYE ABORIGINAL HEALTH ACCESS CENTRE,Clinic,"36, king street, brantford, on, N3T 3C5",43.13997205,-80.26754162
DE DWA DA DEHS NYE'S ABORIGINAL HEALTH CENTRE,Clinic,"678, main street e, hamilton, on, L8M 1K2",43.24835649,-79.84311419
Deaf Access Simcoe,Clinic,"20, anne street s, barrie, on, L4N 2C6",44.3813294,-79.70462585
Dearness Home for Senior Citizens,Other,"710, southdale road e, london, on, N6E 1R8",42.94410837,-81.2242039
Deep River and District Hospital,Hospital,"117, banting dr, deep river, on, K0J 1P0",46.0908667,-77.4750037
Deer Park Villa,Other,"150, central avenue, grimsby, on, L3M 4Z3",43.1895365,-79.54142639
Deerwood Creek Care Community,Other,"70, humberline drive, toronto, on, M9W 7H3",43.73160489,-79.61744587
Delaware Nation (Moravian of the Thames) (Css),Clinic,"14737, school house line, thamesville, on, N0P 2K0",42.56381627,-81.87570007
122nd Avenue Home,Other,"22229, 122 ave, maple ridge, bc, V2X 3X8",49.2244182,-122.6062374
Delhi Fht,Clinic,"105, main street of delhi, delhi, on, N4B 2L8",42.85626649,-80.49705007
Delhi Long Term Care Centre,Other,"750, gibraltar street, delhi, on, N4B 3B3",42.8420406,-80.4905752
Delmanor Elgin Mills,Other,"80, elgin mills road e, richmond hill, on, L4C 0L3",43.89114592,-79.43936142
Delmanor Glen Abbey,Other,"1459, nottinghill gate, oakville, on, L6M 4W1",43.44530143,-79.73083328
Delmanor Northtown,Other,"5351, yonge street, toronto, on, M2N 7L5",43.77540511,-79.4141526
Delmanor Prince Edward,Other,"4180, dundas street w, toronto, on, M8X 1X8",43.66125518,-79.51006583
Delmanor Wynford,Other,"187, wynford drive, toronto, on, M3C 0C7",43.7246323,-79.32618287
Delrose Retirement Residence,Other,"725, gibraltar street, delhi, on, N4B 3C7",42.84253499,-80.49026886
Dementia Alliance,Clinic,"645, norfolk street n, simcoe, on, N3Y 3R2",42.851380600000006,-80.30845961
Dementia Society of Ottawa and Renfrew County,Clinic,"1750, russell road, ottawa, on, K1G 5Z6",45.40374035,-75.63671562
123 Walk-in Clinic,Clinic,"108-2777, gladwin road, abbotsford, bc, V2T 4V1",49.051786,-122.315463
Derbecker's Heritage House,Other,"54, eby street, saint jacobs, on, N0B 2N0",43.54089651,-80.54914374
Devonshire Retirement Residence,Other,"901, riverside drive w, windsor, on, N9A 7J6",42.31615767,-83.05106551
Dilico Anishinabek Family Care,Clinic,"200, anemki place, fort william first nation, on, P7J 1L6",48.35423355,-89.26127296
Dixie Bloor Neighbourhood Drop-in Centre,Clinic,"3650, dixie road, mississauga, on, L4Y 3V9",43.62129377,-79.60303445
Dixon Hall,Clinic,"58, sumach street, toronto, on, M5A 3J7",43.65624799,-79.35890658
Dokis First Nation,Clinic,"948, main street, dokis, on, P0M 2N1",46.129579,-80.03240600000001
Dolce Vita Retirement Living,Other,"854, erie street e, windsor, on, N9A 3Y6",42.31336527,-83.0216454
Dom Lipa,Other,"52, neilson drive, toronto, on, M9C 1V7",43.62949697,-79.56513824
123rd Home,Other,"20878, 123 ave, maple ridge, bc, V2X 4B2",49.2259116,-122.64270729999998
Domestic Abuse Services Oxford,Other,"975, james street, woodstock, on, N4S 0A5",43.13282023,-80.73030776
Don Mills Fht,Clinic,"35, foxden road, toronto, on, M3C 2B2",43.7286232,-79.34204848
Don Mills Surgical Unit,Hospital,"20, wynford drive, north york, on, M3C 1J4",43.7236162,-79.33617748
Donway Place,Other,"8, the donway e, toronto, on, M3C 3R7",43.734248,-79.34066228
Doon Village Retirement Residence,Other,"868, doon village road, kitchener, on, N2P 3A4",43.39183449,-80.4390437
Dorchester Terrace Retirement Residence,Other,"143, byron avenue, dorchester, on, N0L 1G5",42.98070929,-81.05340845
Dorothy Ley Hospice,Other,"170, sherway drive, toronto, on, M9C 1A6",43.60806727,-79.55990744
Dorval Medical Associates Family Health Team,Clinic,"465, morden road, oakville, on, L6K 3W6",43.44193983,-79.69414926
Douglas Crossing Retirement Community,Other,"6, douglas road, uxbridge, on, L9P 1S9",44.09139007,-79.13045064
13333 - 20th Avenue,Other,"13333, 20 ave, surrey, bc, V4A 1Z3",49.038953,-122.852582
Douglas h. Rapelje Lodge,Other,"277, plymouth road, welland, on, L3B 6E3",42.97774267,-79.24618498
Dover Cliffs,Other,"501, st george street, port dover, on, N0A 1N0",42.78788949,-80.20786437
Dowling Rest Home,Other,"124, dowling avenue, toronto, on, M6K 3A6",43.63691448,-79.4389914
Downsview Long Term Care Centre,Other,"3595, keele street, toronto, on, M3J 1M7",43.7511842,-79.48559573
Dr. Bob Kemp Hospice,Other,"277, stone church road e, hamilton, on, L9B 1B1",43.20834778,-79.8768475
Dre's Lodge Inc.,Other,"82, river street, sunderland, on, L0C 1H0",44.26304971,-79.06649504
Dryden Aboriginal Women's Resource Centre,Clinic,"29, king street, dryden, on, P8N 2Z3",49.784440999999994,-92.840194
Dryden Regional Health Centre,Hospital,"58, goodall st, dryden, on, P8N 2Z6",49.76956,-92.838641
Dufferin Area Family Health Team,Clinic,"1, elizabeth street, orangeville, on, L9W 7N7",43.9212788,-80.09932514
Bonnyville Health Centre,Hospital,"5001, lakeshore dr, bonnyville, ab, T9N 2J7",54.26375329999999,-110.7414916
1416 Residence,Other,"1416, 102 ave, dawson creek, bc, V1G 2C9",55.759787,-120.242
Dufferin County Community Support Services,Clinic,"167, centre street, shelburne, on, L9V 3R8",44.07608582,-80.19971428
Dufferin Oaks,Other,"151, centre street, shelburne, on, L9V 3R7",44.07675832,-80.20035498
"Dunara Homes for Recovery, Inc.",Other,"329, gordon street, guelph, on, N1G 1X7",43.53418102,-80.23594704
Dundas Community Services,Clinic,"2, king street w, hamilton, on, L9H 6Z1",43.26586919,-79.95406853
Dundas County Hospice,Clinic,"4353, county road 31, williamsburg, on, K0C 2H0",44.9726845,-75.24174085
Dundas Manor Nursing Home,Other,"533, clarence street, winchester, on, K0C 2K0",45.08860351,-75.35556820000001
Dundas Retirement Place,Other,"33, main street, hamilton, on, L9H 2P7",43.26507159,-79.95304373
Dundurn Place Care Centre,Other,"39, mary street, hamilton, on, L8R 3L8",43.25642639,-79.86394320000001
17th Street Home,Other,"4200, 17 st, vernon, bc, V1T 8R7",50.273778,-119.255517
Durham Community Health Centre,Clinic,"115, grassmere avenue, oshawa, on, L1H 3X7",43.86928605,-78.84479043
Durham Hospice,Clinic,"1650, dundas street e, whitby, on, L1N 2K8",43.88801015,-78.91036165
Durham Mental Health Services,Clinic,"1525, nichol avenue, whitby, on, L1N 8R5",43.88199115,-78.91455045
Durham Region Health Department,Clinic,"605, rossland road e, whitby, on, L1N 0B2",43.89862715,-78.94031826
e. j. Mcquigge Lodge,Other,"38, black diamond road, belleville, on, K0K 1K0",44.19803357,-77.39029009
Eagle Terrace,Other,"329, eagle street, newmarket, on, L3Y 1K3",44.04894845,-79.46340434
Ear Falls Community Health Centre Incorporated,Clinic,"25, spruce street, ear falls, on, P0V 1T0",50.63824344,-93.23724339
Earls Court Village,Other,"1390, highbury avenue n, london, on, N5Y 0B6",43.02686099,-81.21868721
East End Community Health Centre,Clinic,"1619, queen street e, toronto, on, M4L 1G4",43.66630519,-79.31630836
1985 Treelane Road,Other,"1985, treelane rd, campbell river, bc, V9W 4G1",50.025908,-125.27372
East Gta Family Health Team,Clinic,"520, ellesmere road, toronto, on, M1R 0B1",43.76296761,-79.29523607
East Wellington Community Services Inc.,Clinic,"45, main street, erin, on, N0B 1T0",43.76862927,-80.06141961
East Wellington Fht,Clinic,"6, thompson crescent, erin, on, N0B 1T0",43.78179447,-80.07795862
East York Mental Health Counselling Services Agency,Clinic,"1245, danforth avenue, toronto, on, M4J 1M8",43.68158869,-79.33065757
Eastern Ontario Health Unit,Clinic,"1000, pitt street, cornwall, on, K6J 5T1",45.02917463,-74.73640869
EASTERN OTTAWA COMMUNITY FHT / ÉQUIPE DE SANTÉ FAMILIALE COMMUNAUTAIRE DE L'EST,Clinic,"3095, saint joseph boulevard, ottawa, on, K1E 3W6",45.48022467,-75.50899988
Eastern Ottawa Resource Centre,Clinic,"1980, ogilvie road, ottawa, on, K1J 8M6",45.4726308,-75.4956947
Eastholme Home for the Aged,Other,"62, big bend avenue, powassan, on, P0H 1Z0",46.0786957,-79.35888349999999
1990 Treelane Road,Other,"1990, treelane rd, campbell river, bc, V9W 4E8",50.026306,-125.27363
Eastview Neighbourhood Community Centre,Clinic,"86, blake street, toronto, on, M4J 3C9",43.67506329,-79.33978307
Eatonville Care Centre,Other,"420, the east mall, toronto, on, M9B 3Z9",43.64760318,-79.56046144
Eden Community Homes,Other,"196, beverley street, toronto, on, M5T 1Z1",43.65637419,-79.39509179
Eden House Nursing Home,Other,"5016, wellington county road 29, guelph, on, N1H 6H8",43.58078794,-80.16785633
Eden Place Retirement Home,Other,"38, everett street, belleville, on, K8P 3K2",44.16443676,-77.38830509
Eden Villa Retirement & Assisted Living,Other,"190, stanley avenue, chatham-kent, on, N7M 3J9",42.41149633,-82.17726115
Edgewater Gardens Long Term Care Centre,Other,"428, broad street w, dunnville, on, N1A 1T3",42.90614674,-79.625957
216a Street,Other,"8983, 216a st, langley, bc, V1M 4C7",49.1658526,-122.6236643
Eganville & District Senior Citizens' Needs Association,Clinic,"30, bell street, eganville, on, K0J 1T0",45.53196021,-77.09591361
Ehatare Nursing Home,Other,"40, old kingston road, toronto, on, M1E 3J5",43.77551412,-79.18320493
Elder Care Retirement Home,Other,"317, bloomfield main street prince, edward, on, K0K 1G0",43.98629914,-77.23025702
Elgin Abbey Lodge,Other,"380, first avenue n, chesley, on, N0G 1L0",44.31058562,-81.09967099
Elgin Manor,Other,"39262, fingal line, saint thomas, on, N5P 3S5",42.76901044,-81.23754879
Elginwood,Other,"182, yorkland street, richmond hill, on, L4S 2M9",43.90172983,-79.44169122
Elim Springs Retirement Residence,Other,"3838, bloor street w, toronto, on, M9B 1L1",43.64126548,-79.53888573
Elizabeth Centre,Other,"2100, main street, sudbury, on, P3N 1S7",46.6119611,-81.02674901
227th Home,Other,"12775, 227 st, maple ridge, bc, V2X 6K5",49.2346071,-122.5944504
Elliot Lake Family Health Team,Clinic,"31, nova scotia walk, elliot lake, on, P5A 1Y9",46.38582667,-82.64942541
Elm Grove Living Centre,Other,"35, elm grove avenue, toronto, on, M6K 2J2",43.64031588,-79.4307008
Elmwood Place,Other,"46, elmwood place, london, on, N6J 1J2",42.96948268,-81.26521352
Embassy West Senior Living,Other,"1400, carling avenue, ottawa, on, K1Z 7L8",45.38364335,-75.73827195
Emerald Retirement Residence,Other,"5807, ferry street, niagara falls, on, L2G 1S8",43.0900705,-79.09116624
Emery-Keelesdale,Clinic,"2562, eglinton avenue w, toronto, on, M6M 1T4",43.69098659,-79.47236762
Emo Health Centre,Hospital,"260, front street, emo, on, P0W 1E0",48.631491,-93.842073
Empathy House of Recovery,Other,"83, glencairn avenue, ottawa, on, K1S 1M5",45.40108045,-75.67543973
Empire Crossing Retirement Community,Other,"224, ward street, port hope, on, L1A 0C5",43.96081849,-78.27960676
25th Avenue Group Home,Other,"2980, 25 ave ne, salmon arm, bc, V1E 3C7",50.7177569,-119.2529612
Empire Living Centre,Other,"425, fraser street, north bay, on, P1B 3X1",46.31255503,-79.46375766
Empress Gardens Retirement Residence,Other,"131, charlotte street, peterborough, on, K9J 2T6",44.30332275,-78.3192937
Enaahtig Healing Lodge and Learning Centre,Clinic,"344, west street n, orillia, on, L3V 5E3",44.61868065,-79.42805209
Englehart and District Family Health Team,Clinic,"63, fifth street, englehart, on, P0J 1H0",47.82268675,-79.87926567
Englehart and District Hospital Inc.,Hospital,"61, 5 st, englehart, on, P0J 1H0",47.823199,-79.879574
EQUIPE DE SANTE FAMILIALE ACADEMIQUE MONTFORT,Clinic,"745, montreal road, ottawa, on, K1K 0T1",45.44476036,-75.63723032
Erie St. Clair Lhin-Home Care,Clinic,"712, richmond street, chatham-kent, on, N7M 5K4",42.38576803,-82.20489826
Erie St. Clair Local Health Integration Network,Clinic,"180, riverview drive, chatham-kent, on, N7M 5Z8",42.39253523,-82.20998046
29th Street House,Other,"404, 29 st, castlegar, bc, V1N 3T9",49.2759644,-117.64612350000002
Erin Mills Lodge Nursing Home,Other,"2132, dundas street w, mississauga, on, L5K 2K7",43.53474615,-79.66736096
Errinrung Retirement Community,Other,"67, bruce street s, the blue mountains, on, N0H 2P0",44.55940799,-80.45518861
Espanola & Area Family Health Team,Clinic,"801, mckinnon drive, espanola, on, P5E 1T2",46.2500864,-81.78323771
Espanola General Hospital,Hospital,"825, mckinnon dr, espanola, on, P5E 1R4",46.248452,-81.78083199999999
Essex Community Services,Clinic,"35, victoria avenue, essex, on, N8M 1M4",42.17463046,-82.82524143
Essex Retirees Social Club,Clinic,"32, russell street, essex, on, N8M 1G3",42.17301396,-82.82365463
30th Street Group Home,Other,"1201, 30 st ne, salmon arm, bc, V1E 2B6",50.708592,-119.2511272
Estherville Manor,Other,"10606, mclaughlin road n, brampton, on, L7A 0C9",43.69601307,-79.79769042
Etobicoke Medical Centre Family Health Team,Clinic,"400, the east mall, toronto, on, M9B 3Z9",43.64655638,-79.56056694
Etobicoke Service for Seniors,Clinic,"2245, lawrence avenue w, toronto, on, M9P 3W3",43.69710409,-79.52690243
Evans House,Other,"63, evans avenue, toronto, on, M8Z 1H4",43.62017967,-79.50327902
Evergreen Retirement Residence,Other,"820, scollard court, mississauga, on, L5V 0A1",43.59259706,-79.67056277
Exeter Villa,Other,"155, john street e, exeter, on, N0M 1S1",43.34653763,-81.47441712
Extendicare Bayview,Other,"550, cummer avenue, toronto, on, M2K 2M2",43.79341251,-79.3906724
Extendicare Brampton,Other,"7891, mclaughlin road, brampton, on, L6Y 5H8",43.65536347,-79.7356338
Extendicare Cobourg,Other,"130, new densmore road, cobourg, on, K9A 5W2",43.9837753,-78.17209322
3381 Worthington,Other,"3381, worthington dr, vancouver, bc, V5M 3X8",49.2551157,-123.0327623
Extendicare Falconbridge,Other,"281, falconbridge road, sudbury, on, P3A 5K4",46.50713379,-80.93753367
Extendicare Guildwood,Other,"60, guildwood parkway, toronto, on, M1E 1N9",43.74686311,-79.20313123
Extendicare Haliburton,Other,"167, park street, haliburton, on, K0M 1S0",45.051712,-78.502471
Extendicare Halton Hills,Other,"9, lindsay court, halton hills, on, L7G 6G9",43.64922616,-79.94812796
Extendicare Hamilton,Other,"90, chedmac drive, hamilton, on, L9C 7S6",43.23730029,-79.92136612
Extendicare Kapuskasing,Other,"45, ontario street, kapuskasing, on, P5N 2Y5",49.41769224,-82.41017831
Extendicare Kawartha Lakes,Other,"125, colborne street e, kawartha lakes, on, K9V 6J2",44.36383334,-78.72369584
Extendicare Kingston,Other,"309, queen mary road, kingston, on, K7M 6P4",44.23934601,-76.53531092
Extendicare Kirkland Lake,Other,"155, government road e, kirkland lake, on, P2N 3P4",48.15597609,-80.02268375
Extendicare Lakefield,Other,"19, fraser street, harcourt, on, K0L 2H0",44.42419477,-78.28153509999999
35th Avenue Home,Other,"902, 35 ave, vernon, bc, V1T 2R3",50.266467600000006,-119.2434272
Extendicare Laurier Manor,Other,"1715, montreal road, ottawa, on, K1J 6N4",45.44640676,-75.61084101
Extendicare London,Other,"860, waterloo street, london, on, N6A 3W6",43.00042548,-81.24860602
Extendicare Maple View of Sault Ste. Marie,Other,"650, northern avenue, sault ste marie, on, P6B 4J3",46.5350635,-84.30335325
Extendicare Medex,Other,"1865, baseline road, ottawa, on, K2C 3K6",45.35435184,-75.75821985
Extendicare Mississauga,Other,"855, john watt boulevard, mississauga, on, L5W 1G2",43.63238897,-79.72791359
Extendicare New Orchard Lodge,Other,"99, new orchard avenue, ottawa, on, K2B 5E6",45.37526254,-75.77907516
Extendicare Oshawa,Other,"82, park road n, oshawa, on, L1J 4L1",43.89733765,-78.87514724
Extendicare Peterborough,Other,"860, alexander court, peterborough, on, K9J 6B4",44.29856245,-78.34564511
Extendicare Port Hope,Other,"360, croft street, port hope, on, L1A 4K8",43.96724219,-78.28414406
Extendicare Port Stanley,Other,"4551, east road, port stanley, on, N5L 1J6",42.67066023,-81.20881357
38th Avenue Group Home,Other,"461, e 38 ave, vancouver, bc, V5W 1H8",49.236459499999995,-123.0949445
Extendicare Rouge Valley,Other,"551, conlins road, toronto, on, M1B 5S1",43.80332132,-79.18867764
Extendicare Scarborough,Other,"3830, lawrence avenue e, toronto, on, M1G 1R6",43.76375641,-79.21012454
Extendicare Southwood Lakes,Other,"1255, north talbot road, windsor, on, N9G 3A4",42.24130106,-82.97743668
Extendicare St. Catharines,Other,"283, pelham road, st catharines, on, L2S 1X7",43.1300249,-79.2583408
Extendicare Starwood,Other,"114, starwood road, ottawa, on, K2G 3N5",45.35366004,-75.75058715
Extendicare Tecumseh,Other,"2475, st alphonse street, tecumseh, on, N8N 2X2",42.28214117,-82.88283156
Extendicare Timmins,Other,"62, st-jean avenue, timmins, on, P4R 0A6",48.47746467,-81.37922804
Extendicare Tri-Town,Other,"143, bruce street, temiskaming shores, on, P0J 1K0",47.4407208,-79.63014404
Extendicare Van Daele,Other,"39, van daele street, sault ste marie, on, P6B 4V3",46.5295084,-84.32443156
Extendicare West End Villa,Other,"2179, elmira drive, ottawa, on, K2C 3S1",45.35438354,-75.77592346
47th Avenue Residence,Other,"1759, e 47 ave, vancouver, bc, V5P 1P6",49.2279307,-123.070041
Extendicare York,Other,"333, york street, sudbury, on, P3E 5J3",46.47514368,-81.00771419
f. j. Davey Home,Other,"733, third line e, sault ste marie, on, P6A 7C1",46.552122100000005,-84.3119845
Fairfield Manor Retirement Residence,Other,"17, lombardo drive, ottawa, on, K2L 4E8",45.30090253,-75.88533859
Fairfield Park,Other,"1934, dufferin avenue, chatham-kent, on, N8A 4M2",42.59425785,-82.41318124
Fairfield Residence,Other,"10, fairfield avenue, toronto, on, M8V 2H9",43.59791447,-79.52347352
Fairhaven,Other,"881, dutton road, peterborough, on, K9H 7S4",44.32761635,-78.3181676
Fairmount Home for the Aged,Other,"2069, battersea road, kingston, on, K0H 1S0",44.31346333,-76.4650418
4th Street Home,Other,"2304, 4 st n, cranbrook, bc, V1C 5V9",49.5156951,-115.7487471
Fairvern Nursing Home,Other,"14, mill street, huntsville, on, P1H 2A4",45.32656618,-79.21252868
Fairview Lodge,Other,"632, dundas street w, whitby, on, L1N 5S3",43.87912064,-78.95110927
Fairview Lodge (the Regional Municipality of Durham),Other,"605, rossland road e, whitby, on, L1N 6A3",43.89862715,-78.94031826
Fairview Manor,Other,"75, spring street, mississippi mills, on, K0A 1A0",45.2287855,-76.18998128
Fairview Mennonite Home,Other,"515, langs drive, cambridge, on, N3H 5E4",43.3985564,-80.34314607
Fairview Nursing Home,Other,"14, cross street, toronto, on, M6J 1S8",43.64812078,-79.4285026
Fairview Suites Retirement Home,Other,"799, concession road, cambridge, on, N3H 4L1",43.398728799999994,-80.34534257
Faith Manor Nursing Home,Other,"7900, mclaughlin road s, brampton, on, L6Y 5A7",43.65401717,-79.74139890000001
58th Avenue Home,Other,"29172, 58 ave, abbotsford, bc, V4X 2G1",49.107193,-122.415845
Faith Place,Other,"44, william street w, oshawa, on, L1G 1J9",43.89998245,-78.86653234
Family Association for Mental Health Everywhere (Fame),Clinic,"7700, hurontario street, brampton, on, L6Y 4M3",43.65860057,-79.72630969
Family Counselling and Support Services for Guelph-Wellington,Clinic,"109, surrey street e, guelph, on, N1H 3P7",43.54428713,-80.24364695
Family Counselling Centre,Clinic,"1086, modeland road, sarnia, on, N7S 6L2",42.97647492,-82.34127865
Family Counselling Service Volunteers & Information,Clinic,"540, george street n, peterborough, on, K9H 3S2",44.31021695,-78.32037940000001
Family First Fht,Clinic,"4270, innes road, ottawa, on, L4A 5E6",45.45712527,-75.49522137
Family Service Kent,Clinic,"50, adelaide street s, chatham-kent, on, N7M 6K7",42.40436573,-82.17965245
Family Service Thames Valley,Clinic,"125, woodward avenue, london, on, N6H 2H1",42.98807948,-81.26880582
Family Service Toronto,Other,"355, church street, toronto, on, M5B 1Z8",43.66039509,-79.37858618
Family Services Perth-Huron,Clinic,"142, waterloo street s, stratford, on, N5A 4B4",43.36884386,-80.98016086
5960 Angus Place,Other,"5960, angus pl, surrey, bc, V3S 4W7",49.110777,-122.747127
Family Services Windsor-Essex,Clinic,"1770, langlois avenue, windsor, on, N8X 4M5",42.30016487,-83.0098548
FAMILY SERVICES À LA FAMILLE OTTAWA,Clinic,"312, parkdale avenue, ottawa, on, K1Y 4X5",45.40313215,-75.73068205
Family Transition Place,Other,"20, bredin parkway, orangeville, on, L9W 4Z9",43.927391799999995,-80.10041594
Fenelon Court,Other,"44, wychwood crescent, kawartha lakes, on, K0M 1N0",44.52846487,-78.731219050000007
Fergus Place,Other,"164, fergus avenue, kitchener, on, N2A 2H2",43.4358399,-80.43969659999999
Fiddick's Nursing Home,Other,"437, first avenue, petrolia, on, N0N 1R0",42.877897,-82.135951
Fieldstone Commons Care Community,Other,"1000, ellesmere road, toronto, on, M1P 5G2",43.76728591,-79.27793126
Fife House,Other,"490, sherbourne street, toronto, on, M4X 1K9",43.66765829,-79.37508638
5984 - 191a Street,Other,"5984, 191a st, surrey, bc, V3S 7N1",49.1106832,-122.691835
Finlandia Hoivakoti Nursing Home,Other,"233, fourth avenue, sudbury, on, P3B 4C3",46.48424888,-80.92711026
First Place Hamilton,Other,"360, king street e, hamilton, on, L8N 3Y2",43.25314089,-79.8584936
Flemingdon Health Centre,Clinic,"10, gateway boulevard, toronto, on, M3C 3A1",43.70983,-79.33261657
Flying Post First Nation,Clinic,"33, first street, nipigon, on, P0T 2J0",49.010889,-88.263254
Forest Heights,Other,"60, westheights drive, kitchener, on, N2N 2A8",43.42864339,-80.52997973
Forest Hill,Other,"6501, campeau drive, ottawa, on, K2K 3E9",45.31439133,-75.9096673
Forest Hill Place,Other,"645, castlefield avenue, toronto, on, M5N 3A5",43.70622009,-79.42524909999999
Forest Valley Terrace by Symphony,Other,"1510, saint joseph boulevard, ottawa, on, K1C 7L1",45.45881737,-75.5586327
6655a and 6655b Arlington Street,Other,"6655, arlington st, vancouver, bc, V5S 3P1",49.222888,-123.029207
Fort Frances Community Clinic Inc.,Clinic,"301, victoria avenue, fort frances, on, P9A 2C1",48.60819408,-93.39290826
Fort Frances Tribal Area Health Services Inc.,Clinic,"1460, idylwild drive, fort frances, on, P9A 3M3",48.62753689,-93.36073115
Fort William Family Health Team Inc.,Clinic,"1260, golf links road, thunder bay, on, P7B 0A1",48.42360286,-89.27392277
Fort William First Nation,Clinic,"300, anemki place, fort william first nation, on, P7J 1H9",48.35463545,-89.26200206
Forum Italia Community Services - Micba,Clinic,"155, forum drive, mississauga, on, L4Z 3M9",43.61192657,-79.65063147
Fosterbrooke,Other,"330, king street w, toronto, on, L1B 1G9",43.64665448,-79.39003029
Fountain View Care Community,Other,"1800, oconnor drive, toronto, on, M4A 1W7",43.7205599,-79.30496586
Four Counties Addiction Services Team Inc.,Clinic,"130, hunter street w, peterborough, on, K9H 2K8",44.30605755,-78.3192866
